Element	English	Macedonian
Selenium	Selenium is used in the glass industry to decolorize glass and to make red-colored glasses and enamels.<br><br>It is used as a catalyst in many chemical reactions.<br><br>It is also used as a photographic toner, and as an additive to stainless steel.<br><br>Selenium sulfide is used in anti-dandruff shampoos.	Селенот се користи во стакларската индустрија за обезбојување стакло и за правење стакла и емајли во крвено-боени.<br><br>Се користи како катализатор во многу хемиски реакции.<br><br>Исто така се користи како фотографски тонер и како адитив за нерѓосувачки челик.<br><br>Селен сулфид се користи во шампони против перути.
Bromine	Bromine is used in making fumigants, flameproofing agents, water purification compounds, dyes, medicines and sanitizers.<br><br>Potassium bromide is used as a source of bromide ions for the manufacture of silver bromide for photographic film.<br><br>Bromine is also used to reduce mercury pollution from coal-fired power plants.	Бромот се користи при правење фумиганти, средства за заштита од оган, соединенија за прочистување на вода, бои, лекови и дезинфекциски средства.<br><br>Калиум бромид се користи како извор на бромид јони за производство на сребро бромид за фотографски филм.<br><br>Бромот исто така се користи за намалување на загадувањето со жива од јагленови електрани.
Krypton	Krypton is used in certain photographic flash lamps for high-speed photography.<br><br>Krypton-83 has application in magnetic resonance imaging (MRI) for imaging airways.<br><br>Krypton is used as a filling gas for energy-saving fluorescent lights and as an inert filling gas in incandescent bulbs.	Криптонот се користи во одредени фотографски блиц ламби за брза фотографија.<br><br>Криптон-83 има примена во магнетна резонанца (MRI) за снимање на дишните патишта.<br><br>Криптонот се користи како гас за полнење во енергетски-штедни флуоресцентни светла и како инертен гас за полнење во инкандесцентни сијалици.
Rubidium	Rubidium is used as a getter in vacuum tubes and as a photocell component.<br><br>Rubidium compounds are sometimes used in fireworks to give them a purple color.<br><br>Rubidium salts are used in glasses and ceramics.<br><br>Rubidium-87 is slightly radioactive and has been used extensively in dating rocks.	Рубидиумот се користи како гетер во вакуумски цевки и како компонента на фотоќелии.<br><br>Рубидиумови соединенија понекогаш се користат во огномети за да им дадат виолетова боја.<br><br>Рубидиумови соли се користат во стакла и керамика.<br><br>Рубидиум-87 е малку радиоактивен и е широко употребен при датирање на карпи.
Strontium	The primary use for strontium is in glass for color television cathode ray tubes.<br><br>Strontium salts are used in flares and fireworks for a crimson color.<br><br>Strontium chloride is used in toothpaste for sensitive teeth.<br><br>Strontium oxide is used to improve the quality of pottery glazes.	Главната употреба на стронциумот е во стакло за катодно-зрачни цевки на цветни телевизори.<br><br>Стронциум соли се користат во светлосни ракети и огномети за пурпурна боја.<br><br>Стронциум хлорид се користи во пасти за заби за чувствителни заби.<br><br>Стронциум оксид се користи за подобрување на квалитетот на керамички глазури.
Yttrium	Yttrium is often used in alloys, increasing the strength of aluminum and magnesium alloys.<br><br>Yttrium is one of the elements used to make the red color in CRT televisions.<br><br>It is also used as a deoxidizer for non-ferrous metals such as vanadium.<br><br>Yttrium can be used in laser systems and as a catalyst for ethylene polymerization reactions.	Итриумот честопати се користи во легури, зголемувајќи ја цврстоста на алуминиум и магнезиум легури.<br><br>Итриумот е еден од елементите употребени за правење на crвената боја во CRT телевизори.<br><br>Исто така се користи како де-оксидатор за неферозни метали, како ванадиум.<br><br>Итриумот може да се користи во ласерски системи и како катализатор за реакции на полимеризација на етилен.
Zirconium	Zirconium is mainly used as a refractory and opacifier, although it is used in small amounts as an alloying agent for its strong resistance to corrosion.<br><br>Zirconium is used as to make surgical instruments and is used in steel alloys as a hardening agent.<br><br>Zirconium is also used to make superconductive magnets.	Цирконiumот е главно употребен како ватроотпорен материјал и опацификатор, иако е употребен во мали количини како легирачко средство поради силната отпорност на корозија.<br><br>Цирконiumот се користи за правење хируршки инструменти и е употребен во челик легури како средство за зацврстување.<br><br>Цирконiumот исто така се користи за правење суперспроводливи магнети.
Niobium	Niobium is used in arc-welding rods for stabilized grades of stainless steel.<br><br>Niobium alloys are strong and are often used in pipeline construction.<br><br>The metal is used in superalloys for jet engines and heat resistant equipment.<br><br>Niobium is found in many medical devices such as pacemakers.	Ниобиумот се користи во прачки за лачно заварување за стабилизирани класи на нерѓосувачки челик.<br><br>Ниобиум легури се силни и честопати се користат во изградба на цевоводи.<br><br>Металот се користи во суперлегури за млазни мотори и опрема отпорна на топлина.<br><br>Ниобиумот се наоѓа во многу медицински уреди, како пејсмејкери.
Molybdenum	Molybdenum is used as glass furnace electrodes due to its high melting point.<br><br>The metal is also used in nuclear energy applications and for missile and aircraft parts.<br><br>Molybdenum is valuable as a catalyst in the refining of petroleum.<br><br>Molybdenum is used in small quantities to harden steel and is used in many alloys.	Молибденот се користи как електроди за стаклени печки поради неговата висока точка на топење.<br><br>Металот исто така се користи во примени со нуклеарна енергија и за делови на проектили и авиони.<br><br>Молибденот е вреден как катализатор при рафинирање на нафта.<br><br>Молибденот се користи во мали количини за зацврстување на челик и се користи во многу легури.
Technetium	Technetium is used in nuclear medicine to carry out a number of medical tests, mainly relating to imaging and functional studies of internal bodily organs like bone scan.<br><br>It is also used industrially for equipment calibration following its approval as a standard beta emitter.<br><br>Mild carbon steels may be effectively protected by minute quantities of technetium, but this corrosion protection is limited to closed systems because of technetium's radioactivity.	Технециумот се користи во нуклеарна медицина за извршување на голем број медицински тестови, главно поврзани со снимање и функционални студии на внатрешни телесни органи, како скенирање на коски.<br><br>Исто така се користи индустриски за калибрирање на опрема по неговото одобрување как стандарден бета-емитер.<br><br>Благи јаглеродни челици може ефикасно да се заштитат со минијатурни количини на технециум, но оваа заштита од корозија е ограничена на затворени системи поради радиоактивноста на технециумот.
Ruthenium	Ruthenium is used in platinum and palladium alloys to make wear-resistant electrical contacts.<br><br>Ruthenium dioxide and lead and bismuth ruthenates are used in thick-film chip resistors.<br><br>Fountain pen nibs are frequently tipped with alloys containing ruthenium.<br><br>Ruthenium is a versatile catalyst.	Рутениумот се користи во легури на платина и паладиум за правење електрични контакти отпорни на абење.<br><br>Рутениум диоксид и оловни и бизмут рутенати се користат во дебело-слојни чип отпорници.<br><br>Врвовите на налив-пера се честопати наврвени со легури кои содржат рутениум.<br><br>Рутениумот е разновиден катализатор.
Rhodium	The element's major use is as one of the catalysts in the three-way catalytic converters in automobiles.<br><br>Rhodium is used as an alloying agent for hardening and improving the corrosion resistance of platinum and palladium.<br><br>It is also used as a filter in mammography systems because of the characteristic X-rays it produces.<br><br>Rhodium is also used for jewelry and for decorations.	Главната употреба на елементот е како еден од катализаторите во трисмерните каталитички конвертори во автомобили.<br><br>Родиумот се користи как легирачко средство за зацврстување и подобрување на отпорноста на корозија на платина и паладиум.<br><br>Исто така се користи как филтер во системи за мамографија поради карактеристичните X-зраци кои ги произведува.<br><br>Родиумот исто така се користи за накит и за декорации.
Palladium	The largest use of palladium is in catalytic converters in the automobile industry.<br><br>Finely divided palladium is a good catalyst and is used for hydrogenation and dehydrogenation reactions.<br><br>The metal is used in dentistry, watch making, and in making surgical instruments and electrical contacts.	Најголемата употреба на паладиумот е во каталитички конвертори во автомобилската индустрија.<br><br>Финно поделен паладиум е добар катализатор и се користи за реакции на хидрогенизација и дехидрогенизација.<br><br>Металот се користи во стоматологија, часовничарство и при правење хируршки инструменти и електрични контакти.
Silver	Silver has long been valued as a precious metal, and is used as an investment, to make ornaments, jewelry, high-value tableware, utensils, and currency coins.<br><br>It is also used in electrical contacts and conductors, in mirrors and in catalysis of chemical reactions.<br><br>Its compounds are used in photographic film, and dilute silver nitrate solutions and other silver compounds are used as disinfectants and microbiocides	Среброто долго е ценето как скапоцен метал и се користи как инвестиција, за правење украси, накит, скапоцено посаде, прибор и парични монети.<br><br>Исто така се користи во електрични контакти и спроводници, во огледала и при катализа на хемиски реакции.<br><br>Неговите соединенија се користат во фотографски филм, а разредени раствори на сребро нитрат и други сребро соединенија се користат как дезинфектанти и микробициди.
Cadmium	Cadmium is a key component in battery production.<br><br>It is also is used in electroplating.<br><br>Cadmium oxide is used in black and white television phosphors and in the blue and green phosphors for color television picture tubes.<br><br>Cadmium is used as a barrier to control neutrons in nuclear fission.	Кадмиумот е клучна компонента во производство на батерии.<br><br>Исто така се користи во галванопластика.<br><br>Кадмиум оксид се користи во фосфори за crно-бели телевизори и во сини и зелени фосфори за цветни телевизиски цевки.<br><br>Кадмиумот се користи как бариера за контрола на неутрони во нуклеарна фисија.
Indium	Indium's current primary application is to form transparent electrodes from indium tin oxide in liquid crystal displays and touchscreens.<br><br>It is widely used in thin-films to form lubricated layers.<br><br>It is also used for making particularly low melting point alloys, and is a component in some lead-free solders.	Тековната примарна примена на индиумот е формирање на проѕирни електроди од индиум калај оксид во екрани со течни кристали и сензорни екрани.<br><br>Широко се користи во тенки филмови за формирање подмачкани слоеви.<br><br>Исто така се користи за правење особено ниско-точки на топење легури и е компонента на некои безоловни запои.
Tin	Tin is used as a coating on the surface of other metals to prevent corrosion.<br><br>It has long been used as a solder in the form of an alloy with lead.<br><br>Tin salts sprayed onto glass are used to produce electrically conductive coatings.<br><br>Tin chloride is used as a mordant in dyeing textiles and for increasing the weight of silk.	Калајот се користи как облога на површините на другите метали за спречување на корозија.<br><br>Долго се користи как запој во форма на легура со олово.<br><br>Калај соли испрскани на стакло се користат за производство на електрично проводливи облоги.<br><br>Калај хлорид се користи как мордант при боење текстил и за зголемување на тежината на свила.
Antimony	The largest applications for metallic antimony are as alloying material for lead and tin and for lead antimony plates in lead-acid batteries.<br><br>Alloying lead and tin with antimony improves the properties of the alloys which are used in solders, bullets and plain bearings.<br><br>Antimony trioxide is used as a flame retardant in adhesives, plastics, rubber and textiles.	Најголемите примени за металниот антимон се как легирачки материјал за олово и калај и за оловно-антимон плочи во оловно-киселински батерии.<br><br>Легирањето на олово и калај со антимон ги подобрува својствата на легурите кои се користат во запои, куршуми и обични лежишта.<br><br>Антимон триоксид се користи как инхибитор на пламен во адхезиви, пластика, гума и текстил.
Tellurium	The primary use of tellurium is in alloys, foremost in steel and copper to improve machinability.<br><br>Tellurium is used as a basic ingredient in blasting caps, and is added to cast iron for chill control.<br><br>It is used in vulcanizing rubber and in catalysts for petroleum cracking.<br><br>Tellurium is used as a coloring agent in ceramics.	Главната употреба на телуриумот е во легури, пред сé во челик и бакар за подобрување на машинска обработливост.<br><br>Телуриумот се користи како основна состојка во детонаторски капи и е додаден на лиено железо за контрола на ладење.<br><br>Се користи во вулканизација на гума и во катализатори за крекирање на нафта.<br><br>Телуриумот се користи как средство за боење во керамика.
Iodine	Iodine compounds are important in organic chemistry and very useful in medicine.<br><br>A solution containing potassium iodide and iodine in alcohol is used to disinfect external wounds.<br><br>Silver iodide is a major ingredient to traditional photographic film.<br><br>Iodine is added to table salt to prevent thyroid disease.	Јодните соединенија се важни во органска хемија и многу корисни во медицината.<br><br>Раствор кој содржи калиум јодид и јод во алкохол се користи за дезинфекција на надворешни рани.<br><br>Сребро јодид е главна состојка на традиционалниот фотографски филм.<br><br>Јодот се додава на трпезна сол за спречување на болест на тироидна жлезда.
Xenon	Xenon is used in flash lamps and arc lamps, and in photographic flashes.<br><br>Xenon is used in medicine as a general anesthetic and in medical imaging.<br><br>In nuclear energy applications, xenon is used in bubble chambers, probes, and in other areas where a high molecular weight and inert nature is desirable.	Ксенонот се користи во блиц ламби и лачни ламби и во фотографски блиц ламби.<br><br>Ксенонот се користи во медицина как општа анестезија и при медицинско снимање.<br><br>Во примени со нуклеарна енергија, ксенонот се користи во балон-комори, сонди и во други области каде е посакувана висока молекуларна тежина и инертна природа.
Caesium	The radioactive isotope cesium-137 has a half-life of about 30 years and is used in medical applications, industrial gauges, and hydrology.<br><br>Cesium is also used in photoelectric cells and as a catalyst in the hydrogenation of organic compounds.<br><br>Cesium vapor thermionic generators are low-power devices that convert heat energy to electrical energy.	Радиоактивниот изотоп цезиум-137 има полуживот од околу 30 години и се користи во медицински примени, индустриски мерачи и хидрологија.<br><br>Цезиумот исто така се користи во фотоелектрични ќелии и как катализатор при хидрогенизација на органски соединенија.<br><br>Термионски генератори на пара на цезиум се уреди со ниска моќност кои конвертираат топлинска енергија во електрична енергија.
Barium	Barium is used as a flashed getter in vacuum tubes to remove the last traces of gases.<br><br>It is often used in barium-nickel alloys for spark plug wire.<br><br>Barium sulfate is important to the petroleum industry as a drilling fluid in oil and gas wells.<br><br>Barium is also used in medicine to detect abnormalities in the digestive system.	Бариумот се користи как гетер за блиц испарување во вакуумски цевки за отстранување на последните траги на гасови.<br><br>Честопати се користи во бариум-никел легури за жица за свеќички.<br><br>Бариум сулфат е важен за нафтената индустрија как течност за дупчење во нафтени и гасни бунари.<br><br>Бариумот исто така се користи во медицина за откривање аномалии во дигестивниот систем.
Lanthanum	Lanthanum is used in large quantities in batteries for hybrid automobiles.<br><br>It is also used to make night vision goggles.<br><br>Small amounts of lanthanum, as an additive, can be used to produce nodular cast iron.<br><br>Lanthanum carbonate is used to reduce blood levels of phosphate in patients with kidney disease.	Лантанот се користи во големи количини во батерии за хибридни автомобили.<br><br>Исто така се користи за правење очила за ноќно гледање.<br><br>Мали количини лантан, как адитив, може да се користат за производство на нодуларно лиено железо.<br><br>Лантан карбонат се користи за намалување на нивоата на фосфат во крв кај пациенти со бубрежна болест.
Cerium	Cerium is used in carbon-arc lighting, especially in the motion picture industry.<br><br>Cerium oxide is an important component of glass polishing powders and phosphors used in screens and fluorescent lamps.<br><br>Cerium compounds are also used in the manufacture of glass, both as a component and as a decolorizer.	Цериумот се користи при јаглеродно-лачна светлина, особено во филмската индустрија.<br><br>Цериум оксид е важна компонента на прашоци за полирање стакло и фосфори употребени во екрани и флуоресцентни ламби.<br><br>Цериум соединенија исто така се користат во производство на стакло, и как компонента и как средство за обезбојување.
Praseodymium	Praseodymium is used as an alloying agent with magnesium to create high-strength metals that are used in aircraft engines.<br><br>Misch metal, used in making cigarette lighters, contains about 5% praseodymium metal.<br><br>Praseodymium is used to make specialized yellow glass goggles for glass blowers and welders.	Празеодиумот се користи как легирачко средство со магнезиум за создавање метали со висока цврстост кои се користат во авионски мотори.<br><br>Мишметал, употребен при правење запалувачи за цигари, содржи околу 5% метал на празеодиум.<br><br>Празеодиумот се користи за правење специјализирани жолти стаклени очила за стаклодувачи и заварувачи.
Neodymium	Neodymium is used to make specialized goggles for glass blowers.<br><br>Neodymium magnets appear in products such as microphones, professional loudspeakers, in-ear headphones, guitar and bass guitar pick-ups and computer hard disks.<br><br>Glass containing neodymium can be used as a laser material to produce coherent light.	Неодиумот се користи за правење специјализирани очила за стаклодувачи.<br><br>Неодиум магнети се јавуваат во производи, как микрофони, profesionalni звучници, слушалки за уши, гитарски и бас гитарски преземачи и компјутерски хард дискови.<br><br>Стакло кое содржи неодиум може да се користи как ласерски материјал за производство на кохерентна светлина.
Promethium	Promethium is also used in atomic batteries for spacecraft and guided missiles.<br><br>Promethium is also used to measure the thickness of materials by evaluating the amount of radiation from a promethium source that passes through the sample.<br><br>It has possible future uses in portable X-ray sources, and as auxiliary heat or power sources for space probes and satellites.	Прометиумот исто така се користи во атомски батерии за вселенски летала и водени проектили.<br><br>Прометиумот исто така се користи за мерење на дебелина на материјали со евалуација на количина на зрачење од извор на прометиум кое поминува низ примерокот.<br><br>Има можни идни употреби во преносни извори на Х-зраци и как помошни извори на топлина или енергија за вселенски сонди и сателити.
Samarium	Samarium's main use is in samarium-cobalt alloy magnets for headphones, small motors and pickups for some electric guitars.<br><br>Radioactive samarium-153 is used to kill cancer cells in the treatment of lung cancer, prostate cancer, breast cancer and osteosarcoma.<br><br>Samarium and its compounds are also used as catalyst and chemical reagent.	Главната употреба на самариумот е во самариум-кобалт легура магнети за слушалки, мали мотори и преземачи за некои електрични гитари.<br><br>Радиоактивниот самариум-153 се користи за убивање на ракови клетки при лекување на рак на бели дробови, рак на простата, рак на дојка и остеосарком.<br><br>Самариумот и неговите соединенија исто така се користат как катализатор и хемиски реагент.
Europium	Europium is used in the manufacture of fluorescent glass.<br><br>It is also used in the anti-counterfeiting phosphors in Euro banknotes.<br><br>Europium-doped plastic has been used as a laser material.<br><br>Europium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Европиумот се користи при производство на флуоресцентно стакло.<br><br>Исто така се користи во анти-фалсификаторски фосфори во евро банкноти.<br><br>Европиум-допирана пластика е употребена как ласерски материјал.<br><br>Европиум изотопи се добри апсорбери на неутрони и се користат во контролни прачки на нуклеарни реактори.
Gadolinium	Gadolinium is used to make gadolinium yttrium garnets which have microwave applications.<br><br>It is also used in intravenous radiocontrast agents in magnetic resonance imaging (MRI).<br><br>Gadolinium compounds are used for making green phosphors for color TV tubes, and in manufacturing compact discs.	Гадолиниумот се користи за правење гадолиниум-итриум гранати кои имаат микробранови примени.<br><br>Исто така се користи во интравенски радиоконтрастни агенти во магнетна резонанца (MRI).<br><br>Гадолиниум соединенија се користат за правење зелени фосфори за цветни ТВ цевки и при производство на компактни дискови.
Terbium	Terbium is used in alloys and in the production of electronic devices.<br><br>It is also used as a dopant for materials in solid-state devices and optical fibers.<br><br>Terbium oxide is in fluorescent lamps and TV tubes.<br><br>The brilliant fluorescence allows terbium to be used as a probe in biochemistry.	Тербиумот се користи во легури и при производство на електронски уреди.<br><br>Исто така се користи как допант за материјали во уреди во цврста состојба и оптички влакна.<br><br>Тербиум оксид е во флуоресцентни ламби и ТВ цевки.<br><br>Блескавата флуоресценција дозволува тербиумот да се користи как сонда во биохемија.
Dysprosium	Dysprosium oxide-nickel cermets are used in neutron-absorbing control rods in nuclear reactors.<br><br>Dysprosium is used in data storage applications such as compact discs and hard discs.<br><br>It is also used in dosimeters for measuring ionizing radiation.<br><br>Dysprosium iodide and dysprosium bromide are used in high intensity metal-halide lamps.	Диспрозиум оксид-никел цермети се користат во неутрон-апсорбирачки контролни прачки во нуклеарни реактори.<br><br>Диспрозиумот се користи во апликации за складирање на податоци, как компактни дискови и хард дискови.<br><br>Исто така се користи во дозиметри за мерење на јонизирачко зрачење.<br><br>Диспрозиум јодид и диспрозиум бромид се користат во метал-халидни ламби со висок интензитет.
Holmium	Holmium is used to create the strongest artificially generated magnetic fields, when placed within high-strength magnets as a magnetic pole piece.<br><br>It is one of the colorants used for cubic zirconia and glass, providing yellow or red coloring.<br><br>Holmium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Холмиумот се користи за создавање на најсилните вештачки генерирани магнетни полиња, кога е поставен во магнети со висока цврстост как магнетен пол.<br><br>Тоа е еден од колорантите употребени за кубен циркониум и стакло, обезбедувајќи жолта или crвена боја.<br><br>Холмиум изотопи се добри апсорбери на неутрони и се користат во контролни прачки на нуклеарни реактори.
Erbium	Erbium is used in photographic filters to absorb infrared light.<br><br>Erbium oxide gives a pink color and has been used as a colorant in glasses and porcelain enamel glazes.<br><br>It is also used in nuclear technology in neutron-absorbing control rods.<br><br>Erbium is used in alloys especially with vanadium to decrease the hardness of metals.	Ербиумот се користи во фотографски филтри за апсорбирање на инфрацрвена светлина.<br><br>Ербиум оксид дава ружичаста боја и е употребен как колорант во стакла и порцелански емајл глазури.<br><br>Исто така се користи во нуклеарна технологија во неутрон-апсорбирачки контролни прачки.<br><br>Ербиумот се користи во легури, особено со ванадиум, за намалување на тврдоста на метали.
Thulium	Thulium is used to dope yttrium aluminum garnets used in lasers.<br><br>It has also been used in high-temperature superconductors similarly to yttrium.<br><br>Thulium has use in ferrites, ceramic magnetic materials that are used in microwave equipment.<br><br>Thulium is used in euro banknotes for its blue fluorescence under UV light to defeat counterfeiters.	Тулиумот се користи за допирање итриум алуминиум гранати употребени во ласери.<br><br>Исто така е употребен во висококтемпературни суперспроводници слично на итриум.<br><br>Тулиумот има употреба во феритите, керамички магнетни материјали кои се користат во микробранова опрема.<br><br>Тулиумот се користи во евро банкноти поради неговата сина флуоресценција под UV светлина за спречување на фалсификатори.
Ytterbium	Ytterbium fiber laser amplifiers are used in marking and engraving.<br><br>Ytterbium compounds are also used as catalysts in the organic chemical industry.<br><br>Ytterbium can be used as a dopant to help improve the grain refinement, strength, and other mechanical properties of stainless steel.	Итербиум оптички ласерски засилувачи со оптички влакна се користат во означување и гравирање.<br><br>Итербиум соединенија исто така се користат как катализатори во органската хемиска индустрија.<br><br>Итербиумот може да се користи как допант за помош при подобрување на рафинирање на зрна, цврстост и другите механички својства на нерѓосувачки челик.
Lutetium	Lutetium oxide is used to make catalysts for cracking hydrocarbons in the petrochemical industry.<br><br>Lutetium aluminum garnet has been proposed for use as a lens material in high refractive index immersion lithography.<br><br>Lutetium is used as a phosphor in LED light bulbs.	Лутетиум оксид се користи за правење катализатори за крекирање јаглеводороди во петрохемиската индустрија.<br><br>Лутетиум алуминиум гранат е предложен за употреба как леќен материјал во висококолку-рефракциска индексна потопна литографија.<br><br>Лутетиумот се користи как фосфор во LED сијалици.
Hafnium	Hafnium oxide-based compounds are being introduced into silicon-based chips to produce smaller, more energy efficient and performance packed processors.<br><br>Most of the hafnium produced is used in the production of control rods for nuclear reactors.<br><br>Hafnium is also used in photographic flash bulbs, light bulb filaments, and in electronic equipment as cathodes and capacitors.	Соединенијата базирани на хафниум оксид се воведуваат во чипови базирани на силициум за производство на помали, поенергетски ефикасни и полни со перформанси процесори.<br><br>Повеќето произведен хафниум се користи при производство на контролни прачки за нуклеарни реактори.<br><br>Хафниумот исто така се користи во фотографски блиц светилки, влакна на сијалици и во електронска опрема как катоди и кондензатори.
Tantalum	Tantalum is used in the electronics industry for capacitors and high power resistors.<br><br>The high melting point and oxidation resistance lead to the use of the metal in the production of vacuum furnace parts.<br><br>Tantalum oxide is used to make special glass with high index of refraction for camera lenses.	Танталот се користи во електронската индустрија за кондензатори и отпорници за висока моќност.<br><br>Висококата точка на топење и отпорноста на оксидација водат до употреба на металот при производство на делови на вакуумски печки.<br><br>Тантал оксид се користи за правење специјално стакло со висок индекс на рефракција за леќи на камери.
Tungsten	Tungsten and its alloys are widely used for filaments in electric bulbs and electronic tubes.<br><br>Tungsten carbide is of great importance to the metal-working, mining, and petroleum industries.<br><br>Tungsten oxides are used in ceramic glazes and calcium/magnesium tungstates are used widely in fluorescent lighting.	Волфрамот и неговите легури се широко употребени за влакна во електрични сијалици и електронски цевки.<br><br>Волфрам карбид е од голема важност за металопреработувачката, рударската и нафтената индустрија.<br><br>Волфрам оксиди се користат во керамички глазури и калциум/магнезиум волфрамати се широко употребени во флуоресцентна осветление.
Rhenium	Rhenium is widely used as filaments for mass spectrographs and ion gauges.<br><br>It is also used with platinum as catalysts in the production of lead-free, high-octane gasoline.<br><br>Nickel-based superalloys of rhenium are used in the combustion chambers, turbine blades, and exhaust nozzles of jet engines.	Рениумот е широко употребен как влакна за масени спектрографи и јонски мерачи.<br><br>Исто така се користи со платина как катализатори при производство на бензин без олово со висок октански број.<br><br>Никел-базирани суперлегури на рениум се користат во комори за согорување, лопатки на турбини и издувни млазници на млазни мотори.
Osmium	Osmium is used alloyed with other metals in the platinum group to produce very hard alloys.<br><br>Osmium alloys are used in the tips of fountain pens, instrument pivots, and electrical contacts<br><br>Osmium tetroxide has been used in fingerprint detection and in staining fatty tissue for optical and electron microscopy.	Осмиумот е употребен легиран со другите метали во платинската група за производство на многу тврди легури.<br><br>Осмиум легури се користат во врвовите на налив-пера, оски за инструменти и електрични контакти.<br><br>Осмиум тетроксид е употребен при откривање на отпечатоци на прсти и при боење масно ткиво за оптичка и електронска микроскопија.
Iridium	Iridium is used in making crucibles and other equipment that is used at high temperatures.<br><br>Iridium is also used as a hardening agent in platinum alloys.<br><br>Its resistance to arc erosion makes iridium alloys ideal for electrical contacts for spark plugs.<br><br>Radioactive isotopes of iridium are used in radiation therapy for the treatment of cancer.	Иридиумот се користи при правење тигли и друга опрема која се користи на висока температура.<br><br>Иридиумот исто така се користи как средство за зацврстување во легури на платина.<br><br>Неговата отпорност на лачна ерозија ги прави иридиум легурите идеални за електрични контакти за свеќички.<br><br>Радиоактивни изотопи на иридиум се користат во радиотерапија при лекување на рак.
Platinum	The most common use of platinum is as a catalyst in chemical reactions.<br><br>Platinum is used in jewelry, decoration and dental work.<br><br>Platinum-cobalt, an alloy of roughly three parts platinum and one part cobalt, is used to make relatively strong permanent magnets.<br><br>Platinum-based anodes are used in ships, pipelines, and steel piers.	Најчестата употреба на платината е как катализатор во хемиски реакции.<br><br>Платината се користи во накит, декорација и стоматологија.<br><br>Платина-кобалт, легура од приближно три дела платина и еден дел кобалт, се користи за правење релативно силни трајни магнети.<br><br>Аноди базирани на платина се користат во бродови, цевоводи и челични пристаништа.
Gold	Gold is used in coinage and is a standard for monetary systems in many countries.<br><br>It is also extensively used for jewelry, decoration, dental work, and for plating.<br><br>Gold is used widely in microelectronic circuits to ensure reliable, corrosion-resistant and static-free performance.<br><br>Gold leaf, flake or dust is used in some gourmet foods as decorative ingredient.	Златото се користи во коцкарење и е стандард за монетарни системи во многу земји.<br><br>Исто така е широко употребено за накит, декорација, стоматологија и за позлата.<br><br>Златото е широко употребено во микроелектронски кола за обезбедување на веродостојна, корозија-отпорна и без статика перформанса.<br><br>Златен лист, лушпи или прашина се користат во некои гурмански храни как декоративна состојка.
