Element	English	Esperanto
Chromium	Chromium is used to harden steel, manufacture stainless steel, and form many useful alloys.<br><br>It is mostly used in plating to produce a hard, beautiful surface and to prevent corrosion.<br><br>The metal is also widely used as a catalyst.<br><br>Chromium compounds are valued as pigments for their vivid green, yellow, red and orange colors.	Kromo estas uzata por hardi ŝtalon, fabrika nerostuman ŝtalon, kaj formi multajn utilajn alojojn.<br><br>Ĝi estas plejparte uzata en plakado por produkti hardajn, belajn surfacojn kaj por malhelpi korozion.<br><br>La metalo ankaŭ estas vaste uzata kiel katalizanto.<br><br>Kromaj kunmetaĵoj estas valore kiel pigmentoj pro siaj vivecaj verdaj, flavaj, ruĝaj kaj oranĝaj koloroj.
Manganese	For over 2000 years, manganese dioxide has been used to make colorless glass.<br><br>Manganese dioxide is used as the cathode material in zinc-carbon and alkaline batteries.<br><br>Manganese also functions in the oxygen-evolving complex of photosynthetic plants.<br><br>The dioxide is also used in the preparation of oxygen and chlorine and in drying black paints.	Dum pli ol 2000 jaroj, mangana dioksido estis uzata por fari senkoloran vitron.<br><br>Mangana dioksido estas uzata kiel katoda materialo en zink-karbonaj kaj alkalaj baterioj.<br><br>Mangano ankaŭ funkcias en la oksigen-evoluiga komplekso de fotosinteziaj plantoj.<br><br>La dioksido ankaŭ estas uzata en la preparado de oksigeno kaj kloro kaj en sekigado de nigraj farboj.
Iron	Iron is used to manufacture steel and other alloys important in construction and manufacturing.<br><br>Iron is a vital constituent of plant and animal life and works as an oxygen carrier in hemoglobin.<br><br>Iron oxide mixed with aluminum powder can be ignited to create a thermite reaction, used in welding and purifying ores.	Fero estas uzata por fabrika ŝtalon kaj aliajn alojojn gravajn en konstruado kaj fabrikado.<br><br>Fero estas esenca konsistanto de planta kaj animala vivo kaj funkcias kiel oksigena portisto en hemoglobino.<br><br>Fera oksido miksita kun aluminia pulvoro povas esti ekflamigita por krei termitan reagon, uzata en soldado kaj purigado de ercoj.
Cobalt	Cobalt is used in the preparation of magnetic, wear-resistant and high-strength alloys.<br><br>Cobalt is widely used in batteries and in electroplating.<br><br>Radioactive <sup>60</sup>Co is used in the treatment of cancer.<br><br>A solution of the chloride is used as a sympathetic ink.	Kobalto estas uzata en la preparado de magnetaj, eluz-rezistencaj kaj altstrengtaj alojoj.<br><br>Kobalto estas vaste uzata en baterioj kaj en elektropladado.<br><br>Radioaktiva <sup>60</sup>Co estas uzata en la traktado de kancero.<br><br>Solvaĵo de la klorido estas uzata kiel simpatia inko.
Nickel	Nickel is used extensively to make coins and nickel steel for armor plates and burglar-proof vaults.<br><br>Tubing made of copper-nickel alloy is extensively used in making desalination plants for converting sea water into fresh water.<br><br>Nickel is also used in batteries, ceramics and magnets.	Niklato estas vaste uzata por fari monerojn kaj nikla ŝtalo por kirasaj platoj kaj ŝtelisto-rezistajs trezorojn.<br><br>Tuboj faritaj el kupro-nikla alojo estas vaste uzataj en farado de desalinigaj fabrikoj por konverti maran akvon al dolĉa akvo.<br><br>Niklato ankaŭ estas uzata en baterioj, ceramikaĵoj kaj magnetoj.
Copper	Copper is often used for electrical wiring applications and for household plumbing applications.<br><br>Copper sulfate is used as a fungicide and as an algicide in rivers, lakes and ponds.<br><br>It is also used in cookware and cooking utensils.<br><br>Commercially important alloys such as brass and bronze are made with copper and other metals.	Kupro estas ofte uzata por elektraj kablaj aplikoj kaj por domaj hidraulikaj aplikoj.<br><br>Kupra sulfato estas uzata kiel fungicido kaj kiel alĝicido en riveroj, lagoj kaj lagetoj.<br><br>Ĝi ankaŭ estas uzata en kuirejaj utensiloj.<br><br>Komerce gravaj alojoj kiel latuno kaj bronzo estas faritaj kun kupro kaj aliaj metaloj.
Zinc	Because of its corrosion resistance, zinc is often plated to other metals in a process called galvanization.<br><br>Zinc is an essential trace element for animals and plants.<br><br>Large quantities of zinc are used to produce die castings, which are used extensively by the automotive, electrical, and hardware industries.	Pro ĝia korozio-rezisteco, zinko estas ofte plakata al aliaj metaloj en procezo nomata galvanizado.<br><br>Zinko estas esenca spurmineraĵo por bestoj kaj plantoj.<br><br>Grandaj kvantoj de zinko estas uzataj por produkti presitajn kastigojn, kiuj estas vaste uzataj de la aŭtomobila, elektra kaj hardvara industrioj.
Gallium	Gallium wets glass or porcelain and forms a brilliant mirror when it is painted on glass.<br><br>It is widely used in doping semiconductors and producing solid-state devices such as transistors.<br><br>Low melting gallium alloys are used in some medical thermometers as non-toxic substitutes for mercury.<br><br>Gallium arsenide is capable of converting electricity directly into coherent light.	Galio humektas vitron aŭ porcelanon kaj formas brilan spegulon kiam ĝi estas farbita sur vitron.<br><br>Ĝi estas vaste uzata en dopia-procezoj de duonkonduktiloj kaj produktado de solidstataj aparatoj kiel transistoroj.<br><br>Malaltstopaj galiaj alojoj estas uzataj en kelkaj medicinaj termometroj kiel netoksikaj anstataŭaĵoj por hidrargo.<br><br>Galia arsenido kapablas konverti elektron rekte al koherenta lumo.
Germanium	The most common use of germanium is as a semiconductor in electronics.<br><br>Germanium is used in transistors and in integrated circuits.<br><br>It is used as an alloying agent and as a catalyst.<br><br>It is also used in infrared spectroscopes and infrared detectors.	La plej komuna uzo de germanio estas kiel duonkonduktilo en elektroniko.<br><br>Germanio estas uzata en transistoroj kaj en integritaj cirkvitoj.<br><br>Ĝi estas uzata kiel legeriga agento kaj kiel katalizanto.<br><br>Ĝi ankaŭ estas uzata en infraruĝaj spektroskopoj kaj infraruĝaj detektiloj.
Arsenic	The toxicity of arsenic to insects, bacteria and fungi led to its use as a wood preservative and as insecticides.<br><br>Arsenic is used in bronzing, pyrotechny, and for hardening and improving the sphericity of shot.<br><br>Gallium arsenide is a semiconductor used in laser diodes and LEDs.<br><br>Small amounts of arsenic can be used in lead alloys for ammunition.	La tokso de arseno al insektoj, bakterioj kaj fungoj kondukis al ĝia uzo kiel ligna konservilo kaj kiel insekticidoj.<br><br>Arseno estas uzata en bronzado, piroteknikaĵo, kaj por hardi kaj plibonigi la sferecon de ŝrapneloj.<br><br>Galia arsenido estas duonkonduktilo uzata en lazeraj diodoj kaj LED-oj.<br><br>Etaj kvantoj de arseno povas esti uzataj en plumbaj alojoj por municianimo.
Selenium	Selenium is used in the glass industry to decolorize glass and to make red-colored glasses and enamels.<br><br>It is used as a catalyst in many chemical reactions.<br><br>It is also used as a photographic toner, and as an additive to stainless steel.<br><br>Selenium sulfide is used in anti-dandruff shampoos.	Seleno estas uzata en la vitroindustrio por senkolorigi vitron kaj por fari ruĝe-kolorigitajn vitrojn kaj enamelojn.<br><br>Ĝi estas uzata kiel katalizanto en multaj kemiaj reagoj.<br><br>Ĝi ankaŭ estas uzata kiel fotografa tonigilo, kaj kiel aldonaĵo al nerostuma ŝtalo.<br><br>Selena sulfido estas uzata en kontraŭ-forŝakaj ŝampuoj.
Bromine	Bromine is used in making fumigants, flameproofing agents, water purification compounds, dyes, medicines and sanitizers.<br><br>Potassium bromide is used as a source of bromide ions for the manufacture of silver bromide for photographic film.<br><br>Bromine is also used to reduce mercury pollution from coal-fired power plants.	Bromo estas uzata en farado de fumigantoj, flamprotektaj agentoj, akvo-purigaj kunmetaĵoj, kolorantoj, medikamentoj kaj sanitariloj.<br><br>Kalia bromido estas uzata kiel fonto de bromidaj jonoj por la fabrikado de arĝenta bromido por fotografia filmo.<br><br>Bromo ankaŭ estas uzata por redukti higrargan poluciadon el karbonpovigitaj elektrocentraloj.
Krypton	Krypton is used in certain photographic flash lamps for high-speed photography.<br><br>Krypton-83 has application in magnetic resonance imaging (MRI) for imaging airways.<br><br>Krypton is used as a filling gas for energy-saving fluorescent lights and as an inert filling gas in incandescent bulbs.	Kripto estas uzata en certaj fotografiaj bliksaj lampoj por altrapida fotografio.<br><br>Kripto-83 havas aplikon en magneta resonanca bildigo (MRI) por bildigi aervojetoj.<br><br>Kripto estas uzata kiel pleniganta gaso por energi-ŝparantaj fluoreskaj lampoj kaj kiel inerta pleniganta gaso en inkandeskaj ampuloj.
Rubidium	Rubidium is used as a getter in vacuum tubes and as a photocell component.<br><br>Rubidium compounds are sometimes used in fireworks to give them a purple color.<br><br>Rubidium salts are used in glasses and ceramics.<br><br>Rubidium-87 is slightly radioactive and has been used extensively in dating rocks.	Rubidio estas uzata kiel getero en vakuumaj tuboj kaj kiel fotoĉela komponento.<br><br>Rubidia kunmetaĵoj estas iam uzataj en artfajraĵoj por doni al ili purpuran koloron.<br><br>Rubidia saloj estas uzataj en glasoj kaj ceramikaĵoj.<br><br>Rubidio-87 estas iomete radioaktiva kaj estas vaste uzata en datado de ŝtonoj.
Strontium	The primary use for strontium is in glass for color television cathode ray tubes.<br><br>Strontium salts are used in flares and fireworks for a crimson color.<br><br>Strontium chloride is used in toothpaste for sensitive teeth.<br><br>Strontium oxide is used to improve the quality of pottery glazes.	La ĉefa uzo por stroncio estas en vitro por kolora televida katoda rada tuboj.<br><br>Stronciaĵaj saloj estas uzataj en fajroraketoj kaj artfajraĵoj por karmezina koloro.<br><br>Stroncio klorido estas uzata en dentopasto por sentivaj dentoj.<br><br>Stroncio oksido estas uzata por plibonigi la kvaliton de ceramikaj glazuroj.
Yttrium	Yttrium is often used in alloys, increasing the strength of aluminum and magnesium alloys.<br><br>Yttrium is one of the elements used to make the red color in CRT televisions.<br><br>It is also used as a deoxidizer for non-ferrous metals such as vanadium.<br><br>Yttrium can be used in laser systems and as a catalyst for ethylene polymerization reactions.	Itrio estas ofte uzata en alojoj, pliigante la forton de aluminiaj kaj magnezaj alojoj.<br><br>Itrio estas unu el la elementoj uzataj por fari la ruĝan koloron en CRT televidioj.<br><br>Ĝi ankaŭ estas uzata kiel deoksidanto por neferaj metaloj kiel vanadio.<br><br>Itrio povas esti uzata en lazeraj sistemoj kaj kiel katalizanto por etilenaj polimerizad-reagoj.
Zirconium	Zirconium is mainly used as a refractory and opacifier, although it is used in small amounts as an alloying agent for its strong resistance to corrosion.<br><br>Zirconium is used as to make surgical instruments and is used in steel alloys as a hardening agent.<br><br>Zirconium is also used to make superconductive magnets.	Zirkonio estas ĉefe uzata kiel refrakt-materialo kaj opacificanto, kvankam ĝi estas uzata en malgrandaj kvantoj kiel legeriga agento pro ĝia forta rezisteco al korozio.<br><br>Zirkonio estas uzata por fari kirurgiajn instrumentojn kaj estas uzata en ŝtalaj alojoj kiel harda agento.<br><br>Zirkonio ankaŭ estas uzata por fari superkonduktajn magnetojn.
Niobium	Niobium is used in arc-welding rods for stabilized grades of stainless steel.<br><br>Niobium alloys are strong and are often used in pipeline construction.<br><br>The metal is used in superalloys for jet engines and heat resistant equipment.<br><br>Niobium is found in many medical devices such as pacemakers.	Niobio estas uzata en arkosolda virguloj por stabiligitaj gradoj de nerostuma ŝtalo.<br><br>Nobiaj alojoj estas fortaj kaj estas ofte uzataj en duktkonstruado.<br><br>La metalo estas uzata en superalojoj por reaktivaj motoroj kaj varmo-rezistenca ekipaĵo.<br><br>Niobio troviĝas en multaj medicinaj aparatoj kiel pacmakiloj.
Molybdenum	Molybdenum is used as glass furnace electrodes due to its high melting point.<br><br>The metal is also used in nuclear energy applications and for missile and aircraft parts.<br><br>Molybdenum is valuable as a catalyst in the refining of petroleum.<br><br>Molybdenum is used in small quantities to harden steel and is used in many alloys.	Molibdeno estas uzata kiel vitraj forneo elektrodoj pro ĝia alta kras-temperaturo.<br><br>La metalo ankaŭ estas uzata en nukleaj energiaj aplikoj kaj por misilo kaj aviadila partoj.<br><br>Molibdeno estas valora kiel katalizanto en la rafiniado de nafto.<br><br>Molibdeno estas uzata en malgrandaj kvantoj por hardi ŝtalon kaj estas uzata en multaj alojoj.
Technetium	Technetium is used in nuclear medicine to carry out a number of medical tests, mainly relating to imaging and functional studies of internal bodily organs like bone scan.<br><br>It is also used industrially for equipment calibration following its approval as a standard beta emitter.<br><br>Mild carbon steels may be effectively protected by minute quantities of technetium, but this corrosion protection is limited to closed systems because of technetium's radioactivity.	Teknetio estas uzata en nuklea medicino por efektivigi kelkajn medicinajn testojn, ĉefe rilatajn al bildigo kaj funkciaj studoj de internaj korpa organoj kiel ostoskano.<br><br>Ĝi ankaŭ estas uzata industrie por ekipaĵa kalibrado post ĝia aprobo kiel norma betaemitisto.<br><br>Mildaj karbonaj ŝtaloj povas esti efike protektataj per etaj kvantoj de teknetio, sed tiu korozia protekto estas limigita al fermitaj sistemoj pro la radioaktiveco de teknetio.
Ruthenium	Ruthenium is used in platinum and palladium alloys to make wear-resistant electrical contacts.<br><br>Ruthenium dioxide and lead and bismuth ruthenates are used in thick-film chip resistors.<br><br>Fountain pen nibs are frequently tipped with alloys containing ruthenium.<br><br>Ruthenium is a versatile catalyst.	Ruteniato estas uzata en platinaj kaj paladiaj alojoj por fari eluz-rezistencajn elektrajn kontaktojn.<br><br>Rutenia dioksido kaj plumba kaj bismuta rutenatoj estas uzataj en dik-filmaj blataj rezistoroj.<br><br>Plumaj Peninskribistoj estas ofte pinte kun alojoj enhavantaj rutenion.<br><br>Ruteniato estas versatila katalizanto.
Rhodium	The element's major use is as one of the catalysts in the three-way catalytic converters in automobiles.<br><br>Rhodium is used as an alloying agent for hardening and improving the corrosion resistance of platinum and palladium.<br><br>It is also used as a filter in mammography systems because of the characteristic X-rays it produces.<br><br>Rhodium is also used for jewelry and for decorations.	La ĉefa uzo de la elemento estas kiel unu el la katalizantoj en la tri-voja kataliza konvertiloroj en aŭtomobiloj.<br><br>Rodio estas uzata kiel legeriga agento por hardi kaj plibonigi la korozion-rezistencan platinon kaj paladion.<br><br>Ĝi ankaŭ estas uzata kiel filtrilo en mamografiaj sistemoj pro la karakteristikaj X-radioj kiujn ĝi produktas.<br><br>Rodio ankaŭ estas uzata por juvelaĵoj kaj por dekoracioj.
Palladium	The largest use of palladium is in catalytic converters in the automobile industry.<br><br>Finely divided palladium is a good catalyst and is used for hydrogenation and dehydrogenation reactions.<br><br>The metal is used in dentistry, watch making, and in making surgical instruments and electrical contacts.	La plej granda uzo de paladio estas en kataliza konvertiloj en la aŭtomobila industrio.<br><br>Delikate dividita paladio estas bona katalizanto kaj estas uzata por hidrogeniga kaj dehidrogeniga reagoj.<br><br>La metalo estas uzata en dentistiko, horloĝofabrikado, kaj en farado de kirurgiaj instrumentoj kaj elektraj kontaktoj.
Silver	Silver has long been valued as a precious metal, and is used as an investment, to make ornaments, jewelry, high-value tableware, utensils, and currency coins.<br><br>It is also used in electrical contacts and conductors, in mirrors and in catalysis of chemical reactions.<br><br>Its compounds are used in photographic film, and dilute silver nitrate solutions and other silver compounds are used as disinfectants and microbiocides	Arĝento longe estas valorata kiel nobla metalo, kaj estas uzata kiel investo, por fari ornamaĵojn, juvelaĵojn, altvalorajn manĝilojn, utensilojn kaj valutmonerojn.<br><br>Ĝi ankaŭ estas uzata en elektraj kontaktoj kaj konduktiloj, en speguloj kaj en katalizado de kemiaj reagoj.<br><br>Ĝiaj kunmetaĵoj estas uzataj en fotografia filmo, kaj diluitaj arĝenta nitrata solvaĵoj kaj aliaj arĝentaj kunmetaĵoj estas uzataj kiel dezinfektiloj kaj mikrobicidoj.
Cadmium	Cadmium is a key component in battery production.<br><br>It is also is used in electroplating.<br><br>Cadmium oxide is used in black and white television phosphors and in the blue and green phosphors for color television picture tubes.<br><br>Cadmium is used as a barrier to control neutrons in nuclear fission.	Kadmio estas ĉefa komponento en bateria produktado.<br><br>Ĝi ankaŭ estas uzata en elektropladado.<br><br>Kadmia oksido estas uzata en nigra-blanka televida fosforoj kaj en la bluaj kaj verdaj fosforoj por koloraj televida bildaj tuboj.<br><br>Kadmio estas uzata kiel bariero por kontroli neŭtronojn en nuklea fisio.
Indium	Indium's current primary application is to form transparent electrodes from indium tin oxide in liquid crystal displays and touchscreens.<br><br>It is widely used in thin-films to form lubricated layers.<br><br>It is also used for making particularly low melting point alloys, and is a component in some lead-free solders.	La nuna ĉefa apliko de indio estas formi travideblajn elektrodojn el india-stana oksido en likvidkristalaj ekranoj kaj tuŝskranoj.<br><br>Ĝi estas vaste uzata en maldik-filmoj por formi lubrikitajn tavolojn.<br><br>Ĝi ankaŭ estas uzata por fari precipe malaltstopajn alojojn, kaj estas komponento en kelkaj plumb-liberaj lotoĵoj.
Tin	Tin is used as a coating on the surface of other metals to prevent corrosion.<br><br>It has long been used as a solder in the form of an alloy with lead.<br><br>Tin salts sprayed onto glass are used to produce electrically conductive coatings.<br><br>Tin chloride is used as a mordant in dyeing textiles and for increasing the weight of silk.	Stano estas uzata kiel tegaĵo sur la surfaco de aliaj metaloj por malhelpi korozion.<br><br>Ĝi longe estis uzata kiel lotoĵo en la formo de alojo kun plumbo.<br><br>Stanaj saloj sprayte sur vitron estas uzataj por produkti elektre konduktivajn tegaĵojn.<br><br>Stana klorido estas uzata kiel mordanto en kolorado de tekstiloj kaj por pliigi la pezon de silko.
Antimony	The largest applications for metallic antimony are as alloying material for lead and tin and for lead antimony plates in lead-acid batteries.<br><br>Alloying lead and tin with antimony improves the properties of the alloys which are used in solders, bullets and plain bearings.<br><br>Antimony trioxide is used as a flame retardant in adhesives, plastics, rubber and textiles.	La plej grandaj aplikoj por metala antimono estas kiel legeriga materialo por plumbo kaj stano kaj por plumba-antimona platoj en plumbo-acidaj baterioj.<br><br>Legerigo de plumbo kaj stano kun antimono plibonigas la ecojn de la alojoj kiuj estas uzataj en lotoĵoj, pilkoj kaj simplaj apogaĵoj.<br><br>Antimona trioksido estas uzata kiel flamhaltiganto en gluaj, plastoj, kaŭĉuko kaj tekstiloj.
Tellurium	The primary use of tellurium is in alloys, foremost in steel and copper to improve machinability.<br><br>Tellurium is used as a basic ingredient in blasting caps, and is added to cast iron for chill control.<br><br>It is used in vulcanizing rubber and in catalysts for petroleum cracking.<br><br>Tellurium is used as a coloring agent in ceramics.	La ĉefa uzo de teluro estas en alojoj, plej precipe en ŝtalo kaj kupro por plibonigi maŝineblecon.<br><br>Teluro estas uzata kiel baza ingredienco en blastaj kapsuloj, kaj estas aldonita al fandita fero por malvarmiga kontrolo.<br><br>Ĝi estas uzata en vulkanizado de kaŭĉuko kaj en katalizantoj por nafta krakaĵo.<br><br>Teluro estas uzata kiel koloranta agento en ceramikaĵoj.
Iodine	Iodine compounds are important in organic chemistry and very useful in medicine.<br><br>A solution containing potassium iodide and iodine in alcohol is used to disinfect external wounds.<br><br>Silver iodide is a major ingredient to traditional photographic film.<br><br>Iodine is added to table salt to prevent thyroid disease.	Jodaj kunmetaĵoj estas gravaj en organika kemio kaj tre utilaj en medicino.<br><br>Solvaĵo enhavanta kalian jodidon kaj jodon en alkoholo estas uzata por dezinfekti eksterajn vundojn.<br><br>Arĝenta jodido estas ĉefa ingredienco al tradicia fotografia filmo.<br><br>Jodo estas aldonita al manĝosalo por malhelpi tirojdan malsanon.
Xenon	Xenon is used in flash lamps and arc lamps, and in photographic flashes.<br><br>Xenon is used in medicine as a general anesthetic and in medical imaging.<br><br>In nuclear energy applications, xenon is used in bubble chambers, probes, and in other areas where a high molecular weight and inert nature is desirable.	Ksenono estas uzata en bliksaj lampoj kaj arklampoj, kaj en fotografiaj bliksoj.<br><br>Ksenono estas uzata en medicino kiel ĝenerala anesteziko kaj en medicina bildigo.<br><br>En nukleaj energiaj aplikoj, ksenono estas uzata en burbulkambroj, sondoj, kaj en aliaj areoj kie alta moleka maso kaj inerta naturo estas dezirinda.
Caesium	The radioactive isotope cesium-137 has a half-life of about 30 years and is used in medical applications, industrial gauges, and hydrology.<br><br>Cesium is also used in photoelectric cells and as a catalyst in the hydrogenation of organic compounds.<br><br>Cesium vapor thermionic generators are low-power devices that convert heat energy to electrical energy.	La radioaktiva izotopo cesio-137 havas duonvivon de ĉirkaŭ 30 jaroj kaj estas uzata en medicinaj aplikoj, industriaj mezuriloj kaj hidrologio.<br><br>Cesio ankaŭ estas uzata en fotoelektraj ĉeloj kaj kiel katalizanto en la hidrogenigo de organikaj kunmetaĵoj.<br><br>Cesioaj vapor-termionaj generatoroj estas malpotenoj aparatoj kiuj konvertas varmoenergeon al elektra energio.
Barium	Barium is used as a flashed getter in vacuum tubes to remove the last traces of gases.<br><br>It is often used in barium-nickel alloys for spark plug wire.<br><br>Barium sulfate is important to the petroleum industry as a drilling fluid in oil and gas wells.<br><br>Barium is also used in medicine to detect abnormalities in the digestive system.	Bario estas uzata kiel brila getero en vakuumaj tuboj por forigi la lastajn spurojn de gasoj.<br><br>Ĝi estas ofte uzata en bario-niklataj alojoj por fajroplugaj dratoj.<br><br>Baria sulfato estas grava al la nafta industrio kiel bora fluido en nafto kaj gasa putoj.<br><br>Bario ankaŭ estas uzata en medicino por detekti anomaliojn en la digestsistemo.
Lanthanum	Lanthanum is used in large quantities in batteries for hybrid automobiles.<br><br>It is also used to make night vision goggles.<br><br>Small amounts of lanthanum, as an additive, can be used to produce nodular cast iron.<br><br>Lanthanum carbonate is used to reduce blood levels of phosphate in patients with kidney disease.	Lantano estas uzata en grandaj kvantoj en baterioj por hibridaj aŭtomobiloj.<br><br>Ĝi ankaŭ estas uzata por fari noktovizaj gogiloj.<br><br>Malgrandaj kvantoj de lantano, kiel aldonaĵo, povas esti uzataj por produkti nodulan fanditan feron.<br><br>Lantana karbonato estas uzata por redukti sangajn nivelojn de fosfato en pacientoj kun rena malsano.
Cerium	Cerium is used in carbon-arc lighting, especially in the motion picture industry.<br><br>Cerium oxide is an important component of glass polishing powders and phosphors used in screens and fluorescent lamps.<br><br>Cerium compounds are also used in the manufacture of glass, both as a component and as a decolorizer.	Cerio estas uzata en karbo-arko lumigado, precipe en la kinematografia industrio.<br><br>Ceria oksido estas grava komponento de vitropoluradaj pulvoroj kaj fosforoj uzataj en ekranoj kaj fluoreskaj lampoj.<br><br>Ceriaj kunmetaĵoj ankaŭ estas uzataj en la fabrikado de vitro, kaj kiel komponento kaj kiel senkoloriga agento.
Praseodymium	Praseodymium is used as an alloying agent with magnesium to create high-strength metals that are used in aircraft engines.<br><br>Misch metal, used in making cigarette lighters, contains about 5% praseodymium metal.<br><br>Praseodymium is used to make specialized yellow glass goggles for glass blowers and welders.	Praseodimo estas uzata kiel legeriga agento kun magnezio por krei altstrengtajn metalojn kiuj estas uzataj en aviadilaj motoroj.<br><br>Miŝmetalo, uzata en farado de cigaredaj bruligantoj, enhavas ĉirkaŭ 5% da praseodima metalo.<br><br>Praseodimo estas uzata por fari specialigitajn flavajn vitrajn gogilojn por vitroblovistoj kaj soldistoj.
Neodymium	Neodymium is used to make specialized goggles for glass blowers.<br><br>Neodymium magnets appear in products such as microphones, professional loudspeakers, in-ear headphones, guitar and bass guitar pick-ups and computer hard disks.<br><br>Glass containing neodymium can be used as a laser material to produce coherent light.	Neodimo estas uzata por fari specialigitajn gogilojn por vitroblovistoj.<br><br>Neodimaj magnetoj aperas en produktoj kiel mikrofonoj, profesiaj laŭtparoliloj, enaŭdaj aŭdiloj, gitaraj kaj basgitaraj pick-upoj kaj komputilaj malmolaj diskoj.<br><br>Vitro enhavanta neodimo povas esti uzata kiel lazera materialo por produkti koherentan lumon.
Promethium	Promethium is also used in atomic batteries for spacecraft and guided missiles.<br><br>Promethium is also used to measure the thickness of materials by evaluating the amount of radiation from a promethium source that passes through the sample.<br><br>It has possible future uses in portable X-ray sources, and as auxiliary heat or power sources for space probes and satellites.	Prometio ankaŭ estas uzata en atomaj baterioj por kosma aparatoj kaj gvidataj misiloj.<br><br>Prometio ankaŭ estas uzata por mezuri la diktecon de materialoj per taksado de la kvanto de radiaciado el prometia fonto kiu pasas tra la specimeno.<br><br>Ĝi havas eblajn estontajn uzojn en portablaj X-radiaj fontoj, kaj kiel helpaj varmo- aŭ potencfontoj por kosmaj sondoj kaj satelitoj.
Samarium	Samarium's main use is in samarium-cobalt alloy magnets for headphones, small motors and pickups for some electric guitars.<br><br>Radioactive samarium-153 is used to kill cancer cells in the treatment of lung cancer, prostate cancer, breast cancer and osteosarcoma.<br><br>Samarium and its compounds are also used as catalyst and chemical reagent.	La ĉefa uzo de samario estas en samaria-kobaltaj alojaj magnetoj por kapaŭdiloj, etaj motoroj kaj pikupoj por kelkaj elektragitaroj.<br><br>Radioaktiva samario-153 estas uzata por mortigi kancerajn ĉelojn en la traktado de pulma kancero, prostata kancero, mamma kancero kaj osteosarkomo.<br><br>Samario kaj ĝiaj kunmetaĵoj ankaŭ estas uzataj kiel katalizanto kaj kemia reaktivo.
Europium	Europium is used in the manufacture of fluorescent glass.<br><br>It is also used in the anti-counterfeiting phosphors in Euro banknotes.<br><br>Europium-doped plastic has been used as a laser material.<br><br>Europium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Eŭropio estas uzata en la fabrikado de fluoreska vitro.<br><br>Ĝi ankaŭ estas uzata en la kontraŭfalsigaj fosforoj en Eŭraj bankbiletoj.<br><br>Eŭropia-dopigita plasto estis uzata kiel lazera materialo.<br><br>Eŭropiaj izotopoj estas bonaj neŭtronabsorbantoj kaj estas uzataj en nukleaj reaktoraj kontrolstangoj.
Gadolinium	Gadolinium is used to make gadolinium yttrium garnets which have microwave applications.<br><br>It is also used in intravenous radiocontrast agents in magnetic resonance imaging (MRI).<br><br>Gadolinium compounds are used for making green phosphors for color TV tubes, and in manufacturing compact discs.	Gadolinio estas uzata por fari gadolinioaj ittriaj garnetoj kiuj havas mikrononda aplikojn.<br><br>Ĝi ankaŭ estas uzata en intravenaj radiokontrasta agentoj en magneta resonanca bildigo (MRI).<br><br>Gadoliniaj kunmetaĵoj estas uzataj por fari verdajn fosforojn por koloraj TV-tuboj, kaj en fabrikado de kompaktaj diskoj.
Terbium	Terbium is used in alloys and in the production of electronic devices.<br><br>It is also used as a dopant for materials in solid-state devices and optical fibers.<br><br>Terbium oxide is in fluorescent lamps and TV tubes.<br><br>The brilliant fluorescence allows terbium to be used as a probe in biochemistry.	Terbio estas uzata en alojoj kaj en la produktado de elektronaj aparatoj.<br><br>Ĝi ankaŭ estas uzata kiel dopanto por materialoj en solidstataj aparatoj kaj optikaj fibroj.<br><br>Terbio oksido estas en fluoreskaj lampoj kaj TV-tuboj.<br><br>La brila fluorescado permesas terbion esti uzata kiel sondo en biokemio.
Dysprosium	Dysprosium oxide-nickel cermets are used in neutron-absorbing control rods in nuclear reactors.<br><br>Dysprosium is used in data storage applications such as compact discs and hard discs.<br><br>It is also used in dosimeters for measuring ionizing radiation.<br><br>Dysprosium iodide and dysprosium bromide are used in high intensity metal-halide lamps.	Disprozio-oksida-niklataj cermetoj estas uzataj en neŭtronabsorbantaj kontrolstangoj en nukleaj reaktoroj.<br><br>Disprozio estas uzata en datumstokaj aplikoj kiel kompaktaj diskoj kaj malmolaj diskoj.<br><br>Ĝi ankaŭ estas uzata en dozimetroj por mezuri joniganta radiaciado.<br><br>Disprozio jodido kaj disprozio bromido estas uzataj en alt-intensivaj metalaj halogenlampoj.
Holmium	Holmium is used to create the strongest artificially generated magnetic fields, when placed within high-strength magnets as a magnetic pole piece.<br><br>It is one of the colorants used for cubic zirconia and glass, providing yellow or red coloring.<br><br>Holmium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Holmio estas uzata por krei la plej fortajn artefarite generitajn magnetajn kampojn, kiam metita ene de altstrengtaj magnetoj kiel magneta polpeco.<br><br>Ĝi estas unu el la kolorantoj uzataj por kubika zirkonio kaj vitro, provizante flavan aŭ ruĝan koloradon.<br><br>Holmiaj izotopoj estas bonaj neŭtronabsorbantoj kaj estas uzataj en nukleaj reaktoraj kontrolstangoj.
