Element	English	Malay
Vanadium	Vanadium is used as an additive in steel to strengthen and protect against corrosion.<br><br>Titanium-aluminum-vanadium alloy is used in jet engines and for high-speed aircraft.<br><br>Vanadium foil is used in cladding titanium to steel.<br><br>Vanadium pentoxide is used in ceramics and as a catalyst for the production of sulfuric acid.	Vanadium digunakan sebagai bahan tambah dalam keluli untuk memperkuatkan dan melindungi dari kakisan.<br><br>Aloi titanium-aluminium-vanadium digunakan dalam enjin jet dan untuk pesawat berkelajuan tinggi.<br><br>Kerajang vanadium digunakan dalam pelapisan titanium pada keluli.<br><br>Vanadium pentoksida digunakan dalam seramik dan sebagai pemangkin untuk pengeluaran asid sulfurik.
Chromium	Chromium is used to harden steel, manufacture stainless steel, and form many useful alloys.<br><br>It is mostly used in plating to produce a hard, beautiful surface and to prevent corrosion.<br><br>The metal is also widely used as a catalyst.<br><br>Chromium compounds are valued as pigments for their vivid green, yellow, red and orange colors.	Kromium digunakan untuk mengeraskan keluli, mengeluarkan keluli tahan karat dan membentuk banyak aloi berguna.<br><br>Ia kebanyakannya digunakan dalam pelapisan untuk menghasilkan permukaan yang keras dan cantik dan untuk mencegah kakisan.<br><br>Logam ini juga digunakan secara meluas sebagai pemangkin.<br><br>Sebatian kromium dihargai sebagai pigmen kerana warna hijau, kuning, merah dan oren mereka yang vivid.
Manganese	For over 2000 years, manganese dioxide has been used to make colorless glass.<br><br>Manganese dioxide is used as the cathode material in zinc-carbon and alkaline batteries.<br><br>Manganese also functions in the oxygen-evolving complex of photosynthetic plants.<br><br>The dioxide is also used in the preparation of oxygen and chlorine and in drying black paints.	Selama lebih 2000 tahun, mangan dioksida telah digunakan untuk membuat kaca tanpa warna.<br><br>Mangan dioksida digunakan sebagai bahan katod dalam bateri zink-karbon dan alkali.<br><br>Mangan juga berfungsi dalam kompleks penjana oksigen tumbuhan fotosintetik.<br><br>Dioksida juga digunakan dalam penyediaan oksigen dan klorin dan dalam pengeringan cat hitam.
Iron	Iron is used to manufacture steel and other alloys important in construction and manufacturing.<br><br>Iron is a vital constituent of plant and animal life and works as an oxygen carrier in hemoglobin.<br><br>Iron oxide mixed with aluminum powder can be ignited to create a thermite reaction, used in welding and purifying ores.	Besi digunakan untuk mengeluarkan keluli dan aloi lain yang penting dalam pembinaan dan pembuatan.<br><br>Besi adalah konstituen penting kehidupan tumbuhan dan haiwan dan berfungsi sebagai pembawa oksigen dalam hemoglobin.<br><br>Besi oksida yang dicampur dengan serbuk aluminium boleh dinyalakan untuk mewujudkan tindak balas termit, digunakan dalam kimpalan dan pemurnian bijih.
Cobalt	Cobalt is used in the preparation of magnetic, wear-resistant and high-strength alloys.<br><br>Cobalt is widely used in batteries and in electroplating.<br><br>Radioactive <sup>60</sup>Co is used in the treatment of cancer.<br><br>A solution of the chloride is used as a sympathetic ink.	Kobalt digunakan dalam penyediaan aloi magnetik, tahan lusuh dan kekuatan tinggi.<br><br>Kobalt digunakan secara meluas dalam bateri dan dalam pengelektropelatan.<br><br>Radioaktif <sup>60</sup>Co digunakan dalam rawatan kanser.<br><br>Larutan kloridanya digunakan sebagai dakwat simpatik.
Nickel	Nickel is used extensively to make coins and nickel steel for armor plates and burglar-proof vaults.<br><br>Tubing made of copper-nickel alloy is extensively used in making desalination plants for converting sea water into fresh water.<br><br>Nickel is also used in batteries, ceramics and magnets.	Nikel digunakan secara meluas untuk membuat syiling dan keluli nikel untuk plat perisai dan ruang tahan pengganggu.<br><br>Tiub yang diperbuat daripada aloi tembaga-nikel digunakan secara meluas dalam pembuatan loji penyahgaraman untuk menukarkan air laut kepada air tawar.<br><br>Nikel juga digunakan dalam bateri, seramik dan magnet.
Copper	Copper is often used for electrical wiring applications and for household plumbing applications.<br><br>Copper sulfate is used as a fungicide and as an algicide in rivers, lakes and ponds.<br><br>It is also used in cookware and cooking utensils.<br><br>Commercially important alloys such as brass and bronze are made with copper and other metals.	Tembaga sering digunakan untuk aplikasi pendawaian elektrik dan aplikasi paip rumah.<br><br>Tembaga sulfat digunakan sebagai fungisid dan sebagai algisid di sungai, tasik dan kolam.<br><br>Ia juga digunakan dalam perkakas masak dan perkakas memasak.<br><br>Aloi penting dari segi komersial seperti loyang dan gangsa dibuat dengan tembaga dan logam lain.
Zinc	Because of its corrosion resistance, zinc is often plated to other metals in a process called galvanization.<br><br>Zinc is an essential trace element for animals and plants.<br><br>Large quantities of zinc are used to produce die castings, which are used extensively by the automotive, electrical, and hardware industries.	Oleh sebab ketahanan kakisannya, zink sering dilapisi pada logam lain dalam proses yang dipanggil galvanisasi.<br><br>Zink adalah unsur surih penting untuk haiwan dan tumbuhan.<br><br>Jumlah besar zink digunakan untuk menghasilkan acuan die, yang digunakan secara meluas oleh industri automotif, elektrik dan perkakasan.
Gallium	Gallium wets glass or porcelain and forms a brilliant mirror when it is painted on glass.<br><br>It is widely used in doping semiconductors and producing solid-state devices such as transistors.<br><br>Low melting gallium alloys are used in some medical thermometers as non-toxic substitutes for mercury.<br><br>Gallium arsenide is capable of converting electricity directly into coherent light.	Galium membasahkan kaca atau porselen dan membentuk cermin yang cemerlang apabila dicat pada kaca.<br><br>Ia digunakan secara meluas dalam mendop semikonduktor dan menghasilkan peranti keadaan pepejal seperti transistor.<br><br>Aloi galium takat rendah digunakan dalam beberapa termometer perubatan sebagai pengganti bukan toksik untuk merkuri.<br><br>Arsenida galium mampu menukarkan elektrik secara langsung kepada cahaya koheran.
Germanium	The most common use of germanium is as a semiconductor in electronics.<br><br>Germanium is used in transistors and in integrated circuits.<br><br>It is used as an alloying agent and as a catalyst.<br><br>It is also used in infrared spectroscopes and infrared detectors.	Penggunaan germanium yang paling biasa adalah sebagai semikonduktor dalam elektronik.<br><br>Germanium digunakan dalam transistor dan dalam litar bersepadu.<br><br>Ia digunakan sebagai agen pengaloian dan sebagai pemangkin.<br><br>Ia juga digunakan dalam spektroskop inframerah dan pengesan inframerah.
Arsenic	The toxicity of arsenic to insects, bacteria and fungi led to its use as a wood preservative and as insecticides.<br><br>Arsenic is used in bronzing, pyrotechny, and for hardening and improving the sphericity of shot.<br><br>Gallium arsenide is a semiconductor used in laser diodes and LEDs.<br><br>Small amounts of arsenic can be used in lead alloys for ammunition.	Ketoksikan arsenik terhadap serangga, bakteria dan kulat menyebabkan penggunaannya sebagai pengawet kayu dan sebagai racun serangga.<br><br>Arsenik digunakan dalam pengubahan gangsa, piroteknik dan untuk mengeraskan dan meningkatkan keseratan tembakan.<br><br>Arsenida galium adalah semikonduktor yang digunakan dalam diod laser dan LED.<br><br>Jumlah kecil arsenik boleh digunakan dalam aloi plumbum untuk peluru.
Selenium	Selenium is used in the glass industry to decolorize glass and to make red-colored glasses and enamels.<br><br>It is used as a catalyst in many chemical reactions.<br><br>It is also used as a photographic toner, and as an additive to stainless steel.<br><br>Selenium sulfide is used in anti-dandruff shampoos.	Selenium digunakan dalam industri kaca untuk menyahwarna kaca dan untuk membuat kaca dan enamel berwarna merah.<br><br>Ia digunakan sebagai pemangkin dalam banyak tindak balas kimia.<br><br>Ia juga digunakan sebagai tonik fotografi, dan sebagai bahan tambah kepada keluli tahan karat.<br><br>Selenium sulfida digunakan dalam syampu anti-kutis.
Bromine	Bromine is used in making fumigants, flameproofing agents, water purification compounds, dyes, medicines and sanitizers.<br><br>Potassium bromide is used as a source of bromide ions for the manufacture of silver bromide for photographic film.<br><br>Bromine is also used to reduce mercury pollution from coal-fired power plants.	Bromin digunakan dalam pembuatan fumigan, agen antibakar, sebatian penyucian air, pewarna, ubat-ubatan dan pengelap.<br><br>Kalium bromida digunakan sebagai sumber ion bromida untuk pembuatan perak bromida untuk filem fotografi.<br><br>Bromin juga digunakan untuk mengurangkan pencemaran merkuri dari loji kuasa janakuasa arang batu.
Krypton	Krypton is used in certain photographic flash lamps for high-speed photography.<br><br>Krypton-83 has application in magnetic resonance imaging (MRI) for imaging airways.<br><br>Krypton is used as a filling gas for energy-saving fluorescent lights and as an inert filling gas in incandescent bulbs.	Kripton digunakan dalam lampu kilat fotografi tertentu untuk fotografi berkelajuan tinggi.<br><br>Kripton-83 mempunyai aplikasi dalam pengimejan resonans magnetik (MRI) untuk pengimejan saluran udara.<br><br>Kripton digunakan sebagai gas pengisi untuk lampu pendaflour penjimatan tenaga dan sebagai gas pengisi lengai dalam mentol pijar.
Rubidium	Rubidium is used as a getter in vacuum tubes and as a photocell component.<br><br>Rubidium compounds are sometimes used in fireworks to give them a purple color.<br><br>Rubidium salts are used in glasses and ceramics.<br><br>Rubidium-87 is slightly radioactive and has been used extensively in dating rocks.	Rubidium digunakan sebagai getter dalam tiub vakum dan sebagai komponen fotsel.<br><br>Sebatian rubidium kadangkala digunakan dalam bunga api untuk memberikan warna ungu.<br><br>Garam rubidium digunakan dalam kaca dan seramik.<br><br>Rubidium-87 adalah sedikit radioaktif dan telah digunakan secara meluas dalam pentarikhaan batuan.
Strontium	The primary use for strontium is in glass for color television cathode ray tubes.<br><br>Strontium salts are used in flares and fireworks for a crimson color.<br><br>Strontium chloride is used in toothpaste for sensitive teeth.<br><br>Strontium oxide is used to improve the quality of pottery glazes.	Penggunaan utama strontium adalah dalam kaca untuk tabung sinar katod televisyen berwarna.<br><br>Garam strontium digunakan dalam lampu tanda dan bunga api untuk warna merah tua.<br><br>Strontium klorida digunakan dalam ubat gigi untuk gigi sensitif.<br><br>Strontium oksida digunakan untuk meningkatkan kualiti glasir tembikar.
Yttrium	Yttrium is often used in alloys, increasing the strength of aluminum and magnesium alloys.<br><br>Yttrium is one of the elements used to make the red color in CRT televisions.<br><br>It is also used as a deoxidizer for non-ferrous metals such as vanadium.<br><br>Yttrium can be used in laser systems and as a catalyst for ethylene polymerization reactions.	Yttrium sering digunakan dalam aloi, meningkatkan kekuatan aloi aluminium dan magnesium.<br><br>Yttrium adalah salah satu unsur yang digunakan untuk membuat warna merah dalam televisyen CRT.<br><br>Ia juga digunakan sebagai deoksida untuk logam bukan besi seperti vanadium.<br><br>Yttrium boleh digunakan dalam sistem laser dan sebagai pemangkin untuk tindak balas pempolimeran etilena.
Zirconium	Zirconium is mainly used as a refractory and opacifier, although it is used in small amounts as an alloying agent for its strong resistance to corrosion.<br><br>Zirconium is used as to make surgical instruments and is used in steel alloys as a hardening agent.<br><br>Zirconium is also used to make superconductive magnets.	Zirkonium terutamanya digunakan sebagai bahan tahan api dan opasifer, walaupun ia digunakan dalam jumlah kecil sebagai agen pengaloian untuk rintangan kakisan yang kuat.<br><br>Zirkonium digunakan untuk membuat instrumen pembedahan dan digunakan dalam aloi keluli sebagai agen pengerasan.<br><br>Zirkonium juga digunakan untuk membuat magnet superkonduktif.
Niobium	Niobium is used in arc-welding rods for stabilized grades of stainless steel.<br><br>Niobium alloys are strong and are often used in pipeline construction.<br><br>The metal is used in superalloys for jet engines and heat resistant equipment.<br><br>Niobium is found in many medical devices such as pacemakers.	Niobium digunakan dalam rod kimpalan arka untuk gred keluli tahan karat yang distabilkan.<br><br>Aloi niobium adalah kuat dan sering digunakan dalam pembinaan saluran paip.<br><br>Logam ini digunakan dalam superaloi untuk enjin jet dan peralatan tahan haba.<br><br>Niobium terdapat dalam banyak peranti perubatan seperti perentak jantung.
Molybdenum	Molybdenum is used as glass furnace electrodes due to its high melting point.<br><br>The metal is also used in nuclear energy applications and for missile and aircraft parts.<br><br>Molybdenum is valuable as a catalyst in the refining of petroleum.<br><br>Molybdenum is used in small quantities to harden steel and is used in many alloys.	Molibden digunakan sebagai elektrod relau kaca kerana titik lebur tingginya.<br><br>Logam ini juga digunakan dalam aplikasi tenaga nuklear dan untuk bahagian misil dan pesawat.<br><br>Molibden berharga sebagai pemangkin dalam penapisan petroleum.<br><br>Molibden digunakan dalam jumlah kecil untuk mengeraskan keluli dan digunakan dalam banyak aloi.
Technetium	Technetium is used in nuclear medicine to carry out a number of medical tests, mainly relating to imaging and functional studies of internal bodily organs like bone scan.<br><br>It is also used industrially for equipment calibration following its approval as a standard beta emitter.<br><br>Mild carbon steels may be effectively protected by minute quantities of technetium, but this corrosion protection is limited to closed systems because of technetium's radioactivity.	Technetium digunakan dalam perubatan nuklear untuk menjalankan sejumlah ujian perubatan, terutamanya berkaitan dengan pengimejan dan kajian fungsional organ dalaman badan seperti imbasan tulang.<br><br>Ia juga digunakan secara industri untuk kalibrasi peralatan berikutan kelulusannya sebagai pemancar beta standard.<br><br>Keluli karbon ringan boleh dilindungi secara berkesan oleh kuantiti kecil teknetium, tetapi perlindungan kakisan ini terhad kepada sistem tertutup kerana keradioaktifan teknetium.
Ruthenium	Ruthenium is used in platinum and palladium alloys to make wear-resistant electrical contacts.<br><br>Ruthenium dioxide and lead and bismuth ruthenates are used in thick-film chip resistors.<br><br>Fountain pen nibs are frequently tipped with alloys containing ruthenium.<br><br>Ruthenium is a versatile catalyst.	Ruthenium digunakan dalam aloi platinum dan palladium untuk membuat kenalan elektrik tahan lusuh.<br><br>Ruthenium dioksida dan rutenat plumbum dan bismut digunakan dalam perintang cip filem tebal.<br><br>Mata pena air terjun sering diletakkan dengan aloi yang mengandungi ruthenium.<br><br>Ruthenium adalah pemangkin serba boleh.
Rhodium	The element's major use is as one of the catalysts in the three-way catalytic converters in automobiles.<br><br>Rhodium is used as an alloying agent for hardening and improving the corrosion resistance of platinum and palladium.<br><br>It is also used as a filter in mammography systems because of the characteristic X-rays it produces.<br><br>Rhodium is also used for jewelry and for decorations.	Penggunaan utama unsur ini adalah sebagai salah satu pemangkin dalam penukaran pemangkin tiga arah dalam automobil.<br><br>Rodium digunakan sebagai agen pengaloian untuk mengeraskan dan meningkatkan rintangan kakisan platinum dan palladium.<br><br>Ia juga digunakan sebagai penapis dalam sistem mamografi kerana sinar X khas yang dihasilkannya.<br><br>Rodium juga digunakan untuk perhiasan dan untuk hiasan.
Palladium	The largest use of palladium is in catalytic converters in the automobile industry.<br><br>Finely divided palladium is a good catalyst and is used for hydrogenation and dehydrogenation reactions.<br><br>The metal is used in dentistry, watch making, and in making surgical instruments and electrical contacts.	Penggunaan terbesar palladium adalah dalam penukaran pemangkin dalam industri automobil.<br><br>Palladium yang dibahagikan dengan halus adalah pemangkin yang baik dan digunakan untuk tindak balas hidrogenasi dan dehidrogenasi.<br><br>Logam ini digunakan dalam pergigian, pembuatan jam tangan dan dalam pembuatan instrumen pembedahan dan kenalan elektrik.
Silver	Silver has long been valued as a precious metal, and is used as an investment, to make ornaments, jewelry, high-value tableware, utensils, and currency coins.<br><br>It is also used in electrical contacts and conductors, in mirrors and in catalysis of chemical reactions.<br><br>Its compounds are used in photographic film, and dilute silver nitrate solutions and other silver compounds are used as disinfectants and microbiocides	Perak telah lama dinilai sebagai logam berharga dan digunakan sebagai pelaburan, untuk membuat hiasan, perhiasan, peralatan meja bernilai tinggi, perkakas dan syiling mata wang.<br><br>Ia juga digunakan dalam kenalan dan konduktor elektrik, dalam cermin dan dalam pemangkinan tindak balas kimia.<br><br>Sebatiannya digunakan dalam filem fotografi dan larutan perak nitrat cair dan sebatian perak lain digunakan sebagai bahan basmi kuman dan mikrobiosid.
Cadmium	Cadmium is a key component in battery production.<br><br>It is also is used in electroplating.<br><br>Cadmium oxide is used in black and white television phosphors and in the blue and green phosphors for color television picture tubes.<br><br>Cadmium is used as a barrier to control neutrons in nuclear fission.	Kadmium adalah komponen utama dalam pengeluaran bateri.<br><br>Ia juga digunakan dalam pengelektropelatan.<br><br>Kadmium oksida digunakan dalam fosfor televisyen hitam putih dan dalam fosfor biru dan hijau untuk tiub gambar televisyen berwarna.<br><br>Kadmium digunakan sebagai halangan untuk mengawal neutron dalam fisyen nuklear.
Indium	Indium's current primary application is to form transparent electrodes from indium tin oxide in liquid crystal displays and touchscreens.<br><br>It is widely used in thin-films to form lubricated layers.<br><br>It is also used for making particularly low melting point alloys, and is a component in some lead-free solders.	Aplikasi utama semasa indium adalah untuk membentuk elektrod telus dari indium timah oksida dalam paparan kristal cecair dan skrin sentuh.<br><br>Ia digunakan secara meluas dalam filem nipis untuk membentuk lapisan berlincir.<br><br>Ia juga digunakan untuk membuat aloi takat lebur rendah khususnya, dan adalah komponen dalam beberapa pateri bebas plumbum.
Tin	Tin is used as a coating on the surface of other metals to prevent corrosion.<br><br>It has long been used as a solder in the form of an alloy with lead.<br><br>Tin salts sprayed onto glass are used to produce electrically conductive coatings.<br><br>Tin chloride is used as a mordant in dyeing textiles and for increasing the weight of silk.	Timah digunakan sebagai salutan pada permukaan logam lain untuk mencegah kakisan.<br><br>Ia telah lama digunakan sebagai pateri dalam bentuk aloi dengan plumbum.<br><br>Garam timah yang disembur ke atas kaca digunakan untuk menghasilkan salutan konduktif secara elektrik.<br><br>Timah klorida digunakan sebagai mordan dalam pewarnaan tekstil dan untuk meningkatkan berat sutera.
Antimony	The largest applications for metallic antimony are as alloying material for lead and tin and for lead antimony plates in lead-acid batteries.<br><br>Alloying lead and tin with antimony improves the properties of the alloys which are used in solders, bullets and plain bearings.<br><br>Antimony trioxide is used as a flame retardant in adhesives, plastics, rubber and textiles.	Aplikasi terbesar untuk antimon logam adalah sebagai bahan pengaloian untuk plumbum dan timah dan untuk plat plumbum-antimon dalam bateri plumbum-asid.<br><br>Pengaloian plumbum dan timah dengan antimon meningkatkan sifat aloi yang digunakan dalam pateri, peluru dan galas biasa.<br><br>Antimon troksida digunakan sebagai penghambat api dalam pelekat, plastik, getah dan tekstil.
Tellurium	The primary use of tellurium is in alloys, foremost in steel and copper to improve machinability.<br><br>Tellurium is used as a basic ingredient in blasting caps, and is added to cast iron for chill control.<br><br>It is used in vulcanizing rubber and in catalysts for petroleum cracking.<br><br>Tellurium is used as a coloring agent in ceramics.	Penggunaan utama telurium adalah dalam aloi, terutamanya dalam keluli dan tembaga untuk meningkatkan kebolehmesin.<br><br>Telurium digunakan sebagai bahan asas dalam topi letupan dan ditambah ke dalam besi tuang untuk kawalan sejuk.<br><br>Ia digunakan dalam vulkanisasi getah dan dalam pemangkin untuk perekahan petroleum.<br><br>Telurium digunakan sebagai agen pewarna dalam seramik.
Iodine	Iodine compounds are important in organic chemistry and very useful in medicine.<br><br>A solution containing potassium iodide and iodine in alcohol is used to disinfect external wounds.<br><br>Silver iodide is a major ingredient to traditional photographic film.<br><br>Iodine is added to table salt to prevent thyroid disease.	Sebatian iodin adalah penting dalam kimia organik dan sangat berguna dalam perubatan.<br><br>Larutan yang mengandungi kalium iodida dan iodin dalam alkohol digunakan untuk membersihkan luka luaran.<br><br>Perak iodida adalah bahan utama filem fotografi tradisional.<br><br>Iodin ditambah kepada garam meja untuk mencegah penyakit tiroid.
Xenon	Xenon is used in flash lamps and arc lamps, and in photographic flashes.<br><br>Xenon is used in medicine as a general anesthetic and in medical imaging.<br><br>In nuclear energy applications, xenon is used in bubble chambers, probes, and in other areas where a high molecular weight and inert nature is desirable.	Xenon digunakan dalam lampu kilat dan lampu arka, dan dalam kilat fotografi.<br><br>Xenon digunakan dalam perubatan sebagai anestetik umum dan dalam pengimejan perubatan.<br><br>Dalam aplikasi tenaga nuklear, xenon digunakan dalam kebuk buih, prob dan di kawasan lain di mana berat molekul yang tinggi dan sifat lengai adalah diingini.
Caesium	The radioactive isotope cesium-137 has a half-life of about 30 years and is used in medical applications, industrial gauges, and hydrology.<br><br>Cesium is also used in photoelectric cells and as a catalyst in the hydrogenation of organic compounds.<br><br>Cesium vapor thermionic generators are low-power devices that convert heat energy to electrical energy.	Isotop radioaktif cesium-137 mempunyai separuh hayat kira-kira 30 tahun dan digunakan dalam aplikasi perubatan, tolok industri dan hidrologi.<br><br>Cesium juga digunakan dalam sel fotoelektrik dan sebagai pemangkin dalam hidrogenasi sebatian organik.<br><br>Penjana termoionik wap cesium adalah peranti rendah kuasa yang menukarkan tenaga haba kepada tenaga elektrik.
Barium	Barium is used as a flashed getter in vacuum tubes to remove the last traces of gases.<br><br>It is often used in barium-nickel alloys for spark plug wire.<br><br>Barium sulfate is important to the petroleum industry as a drilling fluid in oil and gas wells.<br><br>Barium is also used in medicine to detect abnormalities in the digestive system.	Barium digunakan sebagai getter berkelip dalam tiub vakum untuk membuang kesan terakhir gas.<br><br>Ia sering digunakan dalam aloi barium-nikel untuk dawai palam pencucuh.<br><br>Barium sulfat penting untuk industri petroleum sebagai bendalir gerudi dalam perigi minyak dan gas.<br><br>Barium juga digunakan dalam perubatan untuk mengesan kelainan dalam sistem penghadaman.
Lanthanum	Lanthanum is used in large quantities in batteries for hybrid automobiles.<br><br>It is also used to make night vision goggles.<br><br>Small amounts of lanthanum, as an additive, can be used to produce nodular cast iron.<br><br>Lanthanum carbonate is used to reduce blood levels of phosphate in patients with kidney disease.	Lanthanum digunakan dalam kuantiti besar dalam bateri untuk automobil hibrid.<br><br>Ia juga digunakan untuk membuat gogal penglihatan malam.<br><br>Jumlah kecil lanthanum, sebagai bahan tambah, boleh digunakan untuk menghasilkan besi tuang nodular.<br><br>Lanthanum karbonat digunakan untuk mengurangkan paras fosfat darah dalam pesakit yang menghidap penyakit buah pinggang.
Cerium	Cerium is used in carbon-arc lighting, especially in the motion picture industry.<br><br>Cerium oxide is an important component of glass polishing powders and phosphors used in screens and fluorescent lamps.<br><br>Cerium compounds are also used in the manufacture of glass, both as a component and as a decolorizer.	Cerium digunakan dalam pencahayaan arka karbon, terutamanya dalam industri gambar bergerak.<br><br>Cerium oksida adalah komponen penting dalam serbuk pengilap kaca dan fosfor yang digunakan dalam skrin dan lampu pendaflour.<br><br>Sebatian cerium juga digunakan dalam pembuatan kaca, baik sebagai komponen mahupun sebagai bahan penyahwarna.
Praseodymium	Praseodymium is used as an alloying agent with magnesium to create high-strength metals that are used in aircraft engines.<br><br>Misch metal, used in making cigarette lighters, contains about 5% praseodymium metal.<br><br>Praseodymium is used to make specialized yellow glass goggles for glass blowers and welders.	Praseodimium digunakan sebagai agen pengaloian dengan magnesium untuk mencipta logam kekuatan tinggi yang digunakan dalam enjin pesawat.<br><br>Logam Misch, yang digunakan dalam pembuatan pemetik rokok, mengandungi kira-kira 5% logam praseodimium.<br><br>Praseodimium digunakan untuk membuat gogal kaca kuning khas untuk peniup kaca dan pengimpalan.
Neodymium	Neodymium is used to make specialized goggles for glass blowers.<br><br>Neodymium magnets appear in products such as microphones, professional loudspeakers, in-ear headphones, guitar and bass guitar pick-ups and computer hard disks.<br><br>Glass containing neodymium can be used as a laser material to produce coherent light.	Neodimium digunakan untuk membuat gogal khas untuk peniup kaca.<br><br>Magnet neodimium terdapat dalam produk seperti mikrofon, pembesar suara profesional, fon telinga dalam telinga, pemetik gitar dan bass gitar dan cakera keras komputer.<br><br>Kaca yang mengandungi neodimium boleh digunakan sebagai bahan laser untuk menghasilkan cahaya koheran.
Promethium	Promethium is also used in atomic batteries for spacecraft and guided missiles.<br><br>Promethium is also used to measure the thickness of materials by evaluating the amount of radiation from a promethium source that passes through the sample.<br><br>It has possible future uses in portable X-ray sources, and as auxiliary heat or power sources for space probes and satellites.	Promethium juga digunakan dalam bateri atom untuk kapal angkasa dan misil berpandu.<br><br>Promethium juga digunakan untuk mengukur ketebalan bahan dengan menilai jumlah radiasi dari sumber promethium yang melewati sampel.<br><br>Ia mempunyai kemungkinan penggunaan masa depan dalam sumber sinar-X mudah alih dan sebagai sumber haba atau kuasa tambahan untuk prob angkasa dan satelit.
Samarium	Samarium's main use is in samarium-cobalt alloy magnets for headphones, small motors and pickups for some electric guitars.<br><br>Radioactive samarium-153 is used to kill cancer cells in the treatment of lung cancer, prostate cancer, breast cancer and osteosarcoma.<br><br>Samarium and its compounds are also used as catalyst and chemical reagent.	Penggunaan utama samarium adalah dalam magnet aloi samarium-kobalt untuk fon kepala, motor kecil dan pickup untuk beberapa gitar elektrik.<br><br>Samarium-153 radioaktif digunakan untuk membunuh sel kanser dalam rawatan kanser paru-paru, kanser prostat, kanser payudara dan osteosarkoma.<br><br>Samarium dan sebatiannya juga digunakan sebagai pemangkin dan reagen kimia.
Europium	Europium is used in the manufacture of fluorescent glass.<br><br>It is also used in the anti-counterfeiting phosphors in Euro banknotes.<br><br>Europium-doped plastic has been used as a laser material.<br><br>Europium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Europium digunakan dalam pembuatan kaca pendaflour.<br><br>Ia juga digunakan dalam fosfor anti-pemalsuan dalam wang kertas Euro.<br><br>Plastik berdop europium telah digunakan sebagai bahan laser.<br><br>Isotop europium adalah penyerap neutron yang baik dan digunakan dalam batang kawalan reaktor nuklear.
Gadolinium	Gadolinium is used to make gadolinium yttrium garnets which have microwave applications.<br><br>It is also used in intravenous radiocontrast agents in magnetic resonance imaging (MRI).<br><br>Gadolinium compounds are used for making green phosphors for color TV tubes, and in manufacturing compact discs.	Gadolinium digunakan untuk membuat garnet gadolinium yttrium yang mempunyai aplikasi gelombang mikro.<br><br>Ia juga digunakan dalam ejen kontras radio intravena dalam pengimejan resonans magnetik (MRI).<br><br>Sebatian gadolinium digunakan untuk membuat fosfor hijau untuk tiub TV berwarna dan dalam pembuatan cakera padat.
Terbium	Terbium is used in alloys and in the production of electronic devices.<br><br>It is also used as a dopant for materials in solid-state devices and optical fibers.<br><br>Terbium oxide is in fluorescent lamps and TV tubes.<br><br>The brilliant fluorescence allows terbium to be used as a probe in biochemistry.	Terbium digunakan dalam aloi dan dalam pengeluaran peranti elektronik.<br><br>Ia juga digunakan sebagai pengedop untuk bahan dalam peranti keadaan pepejal dan gentian optik.<br><br>Terbium oksida terdapat dalam lampu pendaflour dan tiub TV.<br><br>Fluoresen yang cemerlang membolehkan terbium digunakan sebagai probe dalam biokimia.
Dysprosium	Dysprosium oxide-nickel cermets are used in neutron-absorbing control rods in nuclear reactors.<br><br>Dysprosium is used in data storage applications such as compact discs and hard discs.<br><br>It is also used in dosimeters for measuring ionizing radiation.<br><br>Dysprosium iodide and dysprosium bromide are used in high intensity metal-halide lamps.	Sermet dysprosium oksida-nikel digunakan dalam batang kawalan penyerap neutron dalam reaktor nuklear.<br><br>Dysprosium digunakan dalam aplikasi penyimpanan data seperti cakera padat dan cakera keras.<br><br>Ia juga digunakan dalam dosimeter untuk mengukur radiasi mengion.<br><br>Iodida dysprosium dan bromida dysprosium digunakan dalam lampu halida logam intensiti tinggi.
Holmium	Holmium is used to create the strongest artificially generated magnetic fields, when placed within high-strength magnets as a magnetic pole piece.<br><br>It is one of the colorants used for cubic zirconia and glass, providing yellow or red coloring.<br><br>Holmium isotopes are good neutron absorbers and are used in nuclear reactor control rods.	Holmium digunakan untuk mencipta medan magnet yang paling kuat yang dihasilkan secara buatan, apabila diletakkan dalam magnet kekuatan tinggi sebagai kepingan kutub magnet.<br><br>Ia adalah salah satu bahan pewarna yang digunakan untuk zirkonia kubik dan kaca, menyediakan pewarnaan kuning atau merah.<br><br>Isotop holmium adalah penyerap neutron yang baik dan digunakan dalam batang kawalan reaktor nuklear.
Erbium	Erbium is used in photographic filters to absorb infrared light.<br><br>Erbium oxide gives a pink color and has been used as a colorant in glasses and porcelain enamel glazes.<br><br>It is also used in nuclear technology in neutron-absorbing control rods.<br><br>Erbium is used in alloys especially with vanadium to decrease the hardness of metals.	Erbium digunakan dalam penapis fotografi untuk menyerap cahaya inframerah.<br><br>Erbium oksida memberikan warna merah jambu dan telah digunakan sebagai bahan pewarna dalam kaca dan glasir enamel porselen.<br><br>Ia juga digunakan dalam teknologi nuklear dalam batang kawalan penyerap neutron.<br><br>Erbium digunakan dalam aloi terutamanya dengan vanadium untuk mengurangkan kekerasan logam.
